gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
A1CF	29974	NM_138933.3	false	false	50	7.2413e+01	364	6.9049e-01	1.0057e-06	5.3650e-12	5.6829e-03	9.9432e-01	49	6.9883e+01	352	7.0118e-01	9.6035e-07	5.4044e-12	8.0296e-03	9.9197e-01	5.5700e-01	8.9000e-01	NA	NA	2.4981e+00	2.1166e+00	661	7.5077e+02	3782	8.8043e-01	4.5427e-06	8.2500e-01	9.3900e-01	3.2763e+00	1.1965e+00	148	1.6842e+02	867	8.7876e-01	266	2.7247e+02	1172	9.7624e-01	1.9095e-06	8.8200e-01	1.0810e+00	3.9217e-01	2.1375e-01	[]	NA	NA	NA	NA	NA
A1CF	29974	XM_005269718.2	false	false	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0397e-08	9.1250e-04	9.9909e-01	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0877e-08	8.7011e-04	9.9913e-01	4.7800e-01	7.8800e-01	NA	NA	3.2619e+00	2.7637e+00	662	7.5651e+02	3775	8.7507e-01	4.9017e-06	8.2000e-01	9.3300e-01	3.4360e+00	1.2548e+00	125	1.5351e+02	799	8.1427e-01	277	2.7605e+02	1173	1.0034e+00	2.0076e-06	9.0900e-01	1.1080e+00	-5.7106e-02	-3.1125e-02	[]	NA	NA	NA	NA	NA
A1CF	29974	XM_011539729.3	false	false	48	7.1369e+01	361	6.7256e-01	9.9115e-07	3.7143e-11	3.8568e-03	9.9614e-01	47	7.0281e+01	355	6.6874e-01	9.7219e-07	7.7044e-11	3.5757e-03	9.9642e-01	5.2800e-01	8.5300e-01	NA	NA	2.7771e+00	2.3530e+00	670	7.6177e+02	3837	8.7953e-01	4.4314e-06	8.2500e-01	9.3800e-01	3.3250e+00	1.2143e+00	309	3.6475e+02	1841	8.4715e-01	271	2.7598e+02	1188	9.8194e-01	1.9095e-06	8.8800e-01	1.0860e+00	3.0003e-01	1.6353e-01	[]	NA	NA	NA	NA	NA
A1CF	29974	XM_011539730.2	false	false	44	6.8210e+01	342	6.4507e-01	1.0145e-06	1.0405e-09	2.4289e-03	9.9757e-01	43	6.5680e+01	330	6.5469e-01	9.6910e-07	1.0496e-09	3.4366e-03	9.9656e-01	5.1200e-01	8.4400e-01	NA	NA	2.7985e+00	2.3711e+00	619	7.0224e+02	3507	8.8146e-01	2.1629e-06	8.2400e-01	9.4200e-01	3.1412e+00	1.1472e+00	NA	NA	NA	NA	247	2.5681e+02	1100	9.6182e-01	1.9095e-06	8.6600e-01	1.0690e+00	6.1185e-01	3.3349e-01	[]	NA	NA	NA	NA	NA
A1CF	29974	XM_024447966.1	false	false	39	6.1716e+01	308	6.3193e-01	9.9862e-07	1.8784e-08	2.8739e-03	9.9713e-01	36	5.8193e+01	290	6.1863e-01	9.3629e-07	1.3448e-07	2.7165e-03	9.9728e-01	4.7300e-01	8.1700e-01	NA	NA	2.9093e+00	2.4650e+00	562	6.4495e+02	3237	8.7139e-01	2.0315e-06	8.1200e-01	9.3400e-01	3.2661e+00	1.1928e+00	NA	NA	NA	NA	238	2.3782e+02	1014	1.0007e+00	1.8997e-06	8.9900e-01	1.1140e+00	-1.1465e-02	-6.2486e-03	[]	NA	NA	NA	NA	NA
A1CF	ENSG00000148584	ENST00000282641	false	false	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	NA	NA	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	3	protein_coding	chr10	1758	11
A1CF	ENSG00000148584	ENST00000373993	false	false	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0397e-08	9.1250e-04	9.9909e-01	43	7.0361e+01	355	6.1113e-01	9.6655e-07	1.0877e-08	8.7011e-04	9.9913e-01	4.7800e-01	7.8800e-01	NA	NA	3.2619e+00	2.7637e+00	662	7.5651e+02	3775	8.7507e-01	4.9017e-06	8.2000e-01	9.3300e-01	3.4360e+00	1.2548e+00	125	1.5351e+02	799	8.1427e-01	277	2.7605e+02	1173	1.0034e+00	2.0076e-06	9.0900e-01	1.1080e+00	-5.7106e-02	-3.1125e-02	[]	2	protein_coding	chr10	1782	11
A1CF	ENSG00000148584	ENST00000373995	false	false	50	7.2413e+01	364	6.9049e-01	1.0057e-06	5.3650e-12	5.6829e-03	9.9432e-01	49	6.9883e+01	352	7.0118e-01	9.6035e-07	5.4044e-12	8.0296e-03	9.9197e-01	5.5700e-01	8.9000e-01	NA	NA	2.4981e+00	2.1166e+00	661	7.5077e+02	3782	8.8043e-01	4.5427e-06	8.2500e-01	9.3900e-01	3.2763e+00	1.1965e+00	148	1.6842e+02	867	8.7876e-01	266	2.7247e+02	1172	9.7624e-01	1.9095e-06	8.8200e-01	1.0810e+00	3.9217e-01	2.1375e-01	[]	2	protein_coding	chr10	1782	11
A1CF	ENSG00000148584	ENST00000373997	true	true	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	6838	3	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	2	protein_coding	chr10	1758	11
A1CF	ENSG00000148584	ENST00000374001	false	false	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.3172e-10	2.0560e-03	9.9794e-01	45	6.9962e+01	352	6.4320e-01	9.5471e-07	7.6560e-10	1.9606e-03	9.9804e-01	5.0600e-01	8.2500e-01	NA	NA	2.9844e+00	2.5286e+00	653	7.4551e+02	3720	8.7591e-01	4.3783e-06	8.2100e-01	9.3400e-01	3.3881e+00	1.2373e+00	236	2.7671e+02	1399	8.5287e-01	272	2.7254e+02	1157	9.9802e-01	2.0076e-06	9.0300e-01	1.1030e+00	3.2727e-02	1.7838e-02	[]	2	protein_coding	chr10	1758	11
A1CF	ENSG00000148584	ENST00000395489	false	false	48	7.2811e+01	367	6.5924e-01	1.0176e-06	7.6383e-11	2.5273e-03	9.9747e-01	47	7.0281e+01	355	6.6874e-01	9.7219e-07	7.7044e-11	3.5757e-03	9.9642e-01	5.2800e-01	8.5300e-01	NA	NA	2.7771e+00	2.3530e+00	670	7.6177e+02	3837	8.7953e-01	4.4314e-06	8.2500e-01	9.3800e-01	3.3250e+00	1.2143e+00	309	3.6475e+02	1841	8.4715e-01	271	2.7598e+02	1188	9.8194e-01	1.9095e-06	8.8800e-01	1.0860e+00	3.0003e-01	1.6353e-01	[]	3	protein_coding	chr10	1806	11
A1CF	ENSG00000148584	ENST00000395495	false	false	50	7.2413e+01	364	6.9049e-01	1.0057e-06	5.3650e-12	5.6829e-03	9.9432e-01	49	6.9883e+01	352	7.0118e-01	9.6035e-07	5.4044e-12	8.0296e-03	9.9197e-01	5.5700e-01	8.9000e-01	NA	NA	2.4981e+00	2.1166e+00	661	7.5077e+02	3782	8.8043e-01	4.5427e-06	8.2500e-01	9.3900e-01	3.2763e+00	1.1965e+00	148	1.6842e+02	867	8.7876e-01	266	2.7247e+02	1172	9.7624e-01	1.9095e-06	8.8200e-01	1.0810e+00	3.9217e-01	2.1375e-01	[]	3	protein_coding	chr10	1782	11
A1CF	ENSG00000148584	ENST00000414883	false	false	13	2.3390e+01	124	5.5580e-01	4.5859e-07	6.4408e-03	2.5587e-02	9.6797e-01	13	2.3390e+01	124	5.5580e-01	4.5859e-07	6.7444e-03	2.4419e-02	9.6884e-01	3.6100e-01	8.8400e-01	NA	NA	2.1483e+00	1.8202e+00	226	2.6415e+02	1303	8.5558e-01	3.1854e-06	7.6700e-01	9.5500e-01	2.3471e+00	8.5716e-01	57	7.5248e+01	403	7.5749e-01	95	9.2869e+01	375	1.0229e+00	1.0646e-06	8.6600e-01	1.2130e+00	-2.2114e-01	-1.2053e-01	[]	2	protein_coding	chr10	604	4
BRCA1	672	NM_007294.4	true	true	134	1.7484e+02	1009	7.6642e-01	1.6437e-06	1.4789e-34	2.3901e-03	9.9761e-01	134	1.7484e+02	1009	7.6642e-01	1.6437e-06	1.5474e-34	2.2793e-03	9.9772e-01	6.6500e-01	8.8500e-01	NA	NA	3.0885e+00	2.6169e+00	1948	2.2518e+03	12186	8.6509e-01	1.3765e-05	8.3300e-01	8.9800e-01	6.4018e+00	2.3379e+00	222	2.6560e+02	1720	8.3585e-01	655	7.9298e+02	3367	8.2599e-01	5.4929e-06	7.7400e-01	8.8100e-01	4.9000e+00	2.6707e+00	[]	NA	NA	NA	NA	NA
BRCA1	672	NM_007297.4	false	false	132	1.6954e+02	977	7.7857e-01	1.6455e-06	1.2201e-34	5.6346e-03	9.9437e-01	132	1.6810e+02	971	7.8525e-01	1.6190e-06	6.1994e-35	8.1888e-03	9.9181e-01	6.8100e-01	9.0700e-01	NA	NA	2.7843e+00	2.3591e+00	1901	2.1966e+03	11898	8.6541e-01	1.3386e-05	8.3200e-01	8.9900e-01	6.3078e+00	2.3036e+00	212	2.5496e+02	1657	8.3149e-01	642	7.7590e+02	3294	8.2743e-01	5.4159e-06	7.7500e-01	8.8300e-01	4.8070e+00	2.6200e+00	[]	NA	NA	NA	NA	NA
BRCA1	672	NM_007298.3	false	false	75	1.0309e+02	533	7.2749e-01	1.1157e-06	1.1442e-18	4.1457e-03	9.9585e-01	75	1.0309e+02	533	7.2749e-01	1.1157e-06	1.1973e-18	3.9538e-03	9.9605e-01	6.0300e-01	8.8200e-01	NA	NA	2.7669e+00	2.3444e+00	770	9.0310e+02	4804	8.5262e-01	6.1926e-06	8.0300e-01	9.0500e-01	4.4291e+00	1.6175e+00	137	1.8146e+02	1021	7.5500e-01	272	3.1738e+02	1351	8.5701e-01	2.0424e-06	7.7500e-01	9.4800e-01	2.5474e+00	1.3885e+00	[]	NA	NA	NA	NA	NA
BRCA1	672	NM_007299.4	false	false	70	9.4806e+01	499	7.3835e-01	9.5783e-07	8.4096e-18	8.2803e-03	9.9172e-01	70	9.4806e+01	499	7.3835e-01	9.5783e-07	8.8016e-18	7.8984e-03	9.9210e-01	6.0800e-01	9.0100e-01	NA	NA	2.5477e+00	2.1586e+00	688	8.2815e+02	4414	8.3076e-01	5.5653e-06	7.8000e-01	8.8500e-01	4.8702e+00	1.7786e+00	152	1.9872e+02	1101	7.6491e-01	256	2.8696e+02	1232	8.9212e-01	2.0248e-06	8.0500e-01	9.8900e-01	1.8275e+00	9.9607e-01	[]	NA	NA	NA	NA	NA
BRCA1	672	NM_007300.4	false	false	137	1.7808e+02	1024	7.6931e-01	1.6590e-06	1.8808e-35	2.6164e-03	9.9738e-01	137	1.7808e+02	1024	7.6931e-01	1.6590e-06	1.9679e-35	2.4951e-03	9.9750e-01	6.6900e-01	8.8700e-01	NA	NA	3.0785e+00	2.6084e+00	1974	2.2776e+03	12319	8.6669e-01	1.4227e-05	8.3400e-01	8.9900e-01	6.3622e+00	2.3235e+00	400	4.8629e+02	2944	8.2256e-01	657	7.9878e+02	3390	8.2250e-01	5.6185e-06	7.7100e-01	8.7700e-01	5.0165e+00	2.7342e+00	[]	NA	NA	NA	NA	NA
BRCA1	ENSG00000012048	ENST00000352993	false	false	72	9.8499e+01	508	7.3097e-01	1.0466e-06	4.5773e-18	5.6241e-03	9.9438e-01	72	9.8499e+01	508	7.3097e-01	1.0466e-06	4.7901e-18	5.3640e-03	9.9464e-01	6.0300e-01	8.8900e-01	NA	NA	2.6701e+00	2.2623e+00	730	8.5308e+02	4543	8.5572e-01	5.4738e-06	8.0400e-01	9.1000e-01	4.2141e+00	1.5390e+00	211	2.6343e+02	1464	8.0098e-01	258	3.0252e+02	1291	8.5283e-01	2.0112e-06	7.7000e-01	9.4500e-01	2.5598e+00	1.3952e+00	[]	2	protein_coding	chr17	2163	21
BRCA1	ENSG00000012048	ENST00000354071	false	false	83	1.0460e+02	659	7.9350e-01	9.7089e-07	1.2747e-22	4.1531e-02	9.5847e-01	83	1.0460e+02	659	7.9350e-01	9.7089e-07	1.3361e-22	3.9677e-02	9.6032e-01	6.6400e-01	9.5200e-01	NA	NA	2.1119e+00	1.7894e+00	1430	1.6610e+03	9062	8.6091e-01	1.2994e-05	8.2300e-01	8.9900e-01	5.6689e+00	2.0703e+00	266	3.3385e+02	2113	7.9677e-01	474	5.8090e+02	2468	8.1598e-01	4.9642e-06	7.5600e-01	8.8000e-01	4.4352e+00	2.4174e+00	[]	2	protein_coding	chr17	4197	9
BRCA1	ENSG00000012048	ENST00000357654	true	true	134	1.7484e+02	1009	7.6642e-01	1.6437e-06	1.4789e-34	2.3901e-03	9.9761e-01	134	1.7484e+02	1009	7.6642e-01	1.6437e-06	1.5474e-34	2.2793e-03	9.9772e-01	6.6500e-01	8.8500e-01	7754	4	3.0885e+00	2.6169e+00	1948	2.2518e+03	12186	8.6509e-01	1.3765e-05	8.3300e-01	8.9800e-01	6.4018e+00	2.3379e+00	222	2.6560e+02	1720	8.3585e-01	655	7.9298e+02	3367	8.2599e-01	5.4929e-06	7.7400e-01	8.8100e-01	4.9000e+00	2.6707e+00	[]	2	protein_coding	chr17	5589	22
BRCA1	ENSG00000012048	ENST00000412061	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	445	5.4275e+02	2935	8.1989e-01	2.6033e-06	7.5800e-01	8.8700e-01	4.1960e+00	1.5324e+00	95	1.1878e+02	792	7.9982e-01	161	1.8825e+02	785	8.5523e-01	1.0931e-06	7.5100e-01	9.7500e-01	1.9864e+00	1.0827e+00	["no_exp_lof"]	2	non_stop_decay	chr17	1312	2
BRCA1	ENSG00000012048	ENST00000461221	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	5.5147e+01	288	8.5226e-01	7.7820e-07	6.7400e-01	1.0870e+00	1.0971e+00	4.0066e-01	10	1.0634e+01	63	9.4042e-01	13	1.7086e+01	73	7.6086e-01	2.5297e-07	4.9400e-01	1.2100e+00	9.8851e-01	5.3878e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr17	189	3
BRCA1	ENSG00000012048	ENST00000461574	false	false	26	2.7043e+01	144	9.6145e-01	3.9080e-07	2.6566e-09	4.5483e-01	5.4517e-01	26	2.7043e+01	144	9.6145e-01	3.9080e-07	2.8394e-09	4.4306e-01	5.5694e-01	7.0400e-01	1.3340e+00	NA	NA	2.0047e-01	1.6986e-01	266	2.8857e+02	1597	9.2179e-01	2.2410e-06	8.3300e-01	1.0200e+00	1.3285e+00	4.8516e-01	51	5.2117e+01	334	9.7856e-01	83	1.0519e+02	430	7.8906e-01	1.1345e-06	6.6000e-01	9.4700e-01	2.1634e+00	1.1792e+00	[]	2	protein_coding	chr17	726	4
BRCA1	ENSG00000012048	ENST00000461798	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	5.5147e+01	288	8.5226e-01	7.7820e-07	6.7400e-01	1.0870e+00	1.0971e+00	4.0066e-01	10	1.0634e+01	63	9.4042e-01	13	1.7086e+01	73	7.6086e-01	2.5297e-07	4.9400e-01	1.2100e+00	9.8851e-01	5.3878e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr17	189	3
BRCA1	ENSG00000012048	ENST00000468300	false	false	70	9.4806e+01	499	7.3835e-01	9.5783e-07	8.4096e-18	8.2803e-03	9.9172e-01	70	9.4806e+01	499	7.3835e-01	9.5783e-07	8.8016e-18	7.8984e-03	9.9210e-01	6.0800e-01	9.0100e-01	NA	NA	2.5477e+00	2.1586e+00	688	8.2815e+02	4414	8.3076e-01	5.5653e-06	7.8000e-01	8.8500e-01	4.8702e+00	1.7786e+00	152	1.9872e+02	1101	7.6491e-01	256	2.8696e+02	1232	8.9212e-01	2.0248e-06	8.0500e-01	9.8900e-01	1.8275e+00	9.9607e-01	[]	2	protein_coding	chr17	2097	21
BRCA1	ENSG00000012048	ENST00000470026	false	false	38	5.5673e+01	334	6.8256e-01	4.3513e-07	3.1123e-09	1.1883e-02	9.8812e-01	38	5.5673e+01	334	6.8256e-01	4.3513e-07	3.2579e-09	1.1337e-02	9.8866e-01	5.2600e-01	8.9500e-01	NA	NA	2.3685e+00	2.0068e+00	629	7.6969e+02	4155	8.1722e-01	5.1804e-06	7.6500e-01	8.7300e-01	5.0710e+00	1.8519e+00	111	1.3523e+02	879	8.2083e-01	229	2.6657e+02	1121	8.5906e-01	2.0278e-06	7.7000e-01	9.5800e-01	2.3011e+00	1.2542e+00	[]	2	protein_coding	chr17	1947	9
BRCA1	ENSG00000012048	ENST00000471181	false	false	137	1.7808e+02	1024	7.6931e-01	1.6590e-06	1.8808e-35	2.6164e-03	9.9738e-01	137	1.7808e+02	1024	7.6931e-01	1.6590e-06	1.9679e-35	2.4951e-03	9.9750e-01	6.6900e-01	8.8700e-01	NA	NA	3.0785e+00	2.6084e+00	1974	2.2776e+03	12319	8.6669e-01	1.4227e-05	8.3400e-01	8.9900e-01	6.3622e+00	2.3235e+00	400	4.8629e+02	2944	8.2256e-01	657	7.9878e+02	3390	8.2250e-01	5.6185e-06	7.7100e-01	8.7700e-01	5.0165e+00	2.7342e+00	[]	2	protein_coding	chr17	5652	23
BRCA1	ENSG00000012048	ENST00000473961	false	false	22	2.8744e+01	173	7.6537e-01	2.9688e-07	1.3693e-06	1.1165e-01	8.8835e-01	22	2.8744e+01	173	7.6537e-01	2.9688e-07	1.4400e-06	1.0701e-01	8.9299e-01	5.4600e-01	1.0930e+00	NA	NA	1.2579e+00	1.0658e+00	338	3.9027e+02	2115	8.6608e-01	3.7518e-06	7.9200e-01	9.4800e-01	2.6457e+00	9.6618e-01	136	1.5340e+02	915	8.8659e-01	124	1.3891e+02	578	8.9269e-01	1.0880e-06	7.7100e-01	1.0360e+00	1.2648e+00	6.8935e-01	[]	2	protein_coding	chr17	958	4
BRCA1	ENSG00000012048	ENST00000476777	false	false	18	2.7798e+01	152	6.4754e-01	2.9793e-07	1.2489e-04	3.9603e-02	9.6027e-01	18	2.7798e+01	152	6.4754e-01	2.9793e-07	1.3090e-04	3.7831e-02	9.6204e-01	4.4700e-01	9.6000e-01	NA	NA	1.8583e+00	1.5745e+00	195	2.3735e+02	1286	8.2158e-01	2.9641e-06	7.3000e-01	9.2500e-01	2.7488e+00	1.0038e+00	32	3.8957e+01	219	8.2143e-01	70	8.1233e+01	350	8.6172e-01	1.2331e-06	7.1000e-01	1.0510e+00	1.2463e+00	6.7930e-01	[]	2	protein_coding	chr17	667	8
